Material_ID,Formula,element_A,element_Aprime,element_B,element_Bprime,Formation_Energy_eV_atom,Energy_Above_Hull_eV,Band_Gap_eV,Total_Magnetization_uB,Volume_A3,Density_g_cm3,Space_Group_Symbol,Space_Group_Number,EN_A,EN_Aprime,EN_B,EN_Bprime,EN_O,EN_avg,Shannon_A,Shannon_Aprime,Shannon_B,Shannon_Bprime,Tolerance_Factor,Octahedral_Mismatch,Val_A,Val_Aprime,Val_B,Val_Bprime,Val_avg,Total_A_Charge,Group_B,Group_Bprime,Sum_Ox_B_Bprime,Ox_B,Ox_Bprime,d_electrons_B,d_electrons_Bprime,Total_d_electrons,Spin_Proxy_Distance,HS_moment_B,HS_moment_Bprime,Total_HS_FM,Total_HS_FiM,d_AO,d_BO,d_BprimeO,d_avg,E_GNN,M_net,M_abs,material_id
mp-724857,Na2LaSiO5,Na,Na,La,Si,-2.853745590355956,0.048959691098554435,0.4628744138390521,4.247597623152497,493.4440105149031,4.074320492153425,Pnma,62.972525168546895,0.9320240037249004,0.9384081082973239,1.10136729429931,1.9002461319273987,3.447401261097823,1.5339663180851821,0.9960582903756752,0.9737269823320054,1.0376516117619576,0.2519490298479832,0.8187835930589215,1251.075126319172,0.9866337752685399,0.9972841533374004,4.006323257428696,3.9510850739605154,3.924518352541879,2.1166247781657246,2.8351616497296277,4.071167843884988,9.994667051119244,4.6969323702495,5.2755004317278535,0.13995331514563392,0.06688422337365597,-0.00696932922214389,4.918133399250415,-0.0582448113444398,-0.032033373463726714,0.1358198205683662,0.06429459659628384,2.336897915428017,2.422801649918542,1.6456235239976813,2.148240181079989,-2.8587935150415165,3.4607381587711115,4.651234803532597,mp-ood-1
mp-1373817,Zn2TeWO6,Zn,Zn,Te,W,-1.6072425337397789,0.177716422344233,0.39186034904933675,-0.4310013435498939,241.99581641339742,7.088584651761635,P2_1/c,10.44298528040822,1.6138080787791889,1.6764396042098513,2.0993775882187378,1.7018198023890596,3.439430485646789,1.9011738531815836,0.9903066986629512,0.850380730665549,2.210089753917165,0.5945067892071563,0.5542658477990271,633.1434084820523,2.0209911066734656,1.990286581100452,3.8823399946997945,6.126353626852808,5.090883941343553,4.002072430547717,4.198905611832021,5.985235430322648,7.991003137793749,3.3984108199829355,4.5060025470087375,0.6212572987724004,1.3597215365145319,2.0637474195304564,2.953064450468124,0.5585012727203155,1.479682316816414,2.0588041106584987,0.9706443340173428,2.3283077932032925,3.618798244423733,1.878746562765301,2.807615530048217,-1.6569358460483405,-0.030580647712013388,2.4552105065692147,mp-ood-2
mp-1205713,Ba2YUO6,Ba,Ba,Y,U,-3.6071229177090935,-0.0039647700075825815,0.9481362620353887,1.4154703700002627,184.63282418616387,6.721408456535185,Fm-3m,228.6301642622892,0.8636114038755744,0.8846675288499243,1.2401218796317595,1.7184340429376774,3.4312670176524005,1.4367890454410182,1.3447679607424896,1.3148485603817404,0.8867429519667079,1.0627318852644625,0.8015102916604726,-2380.960691033241,1.976720703565917,1.9667117941407088,3.097615747461009,4.0111510374383075,3.5304578787489747,3.993399536452106,2.8508970774321316,3.9310186617100045,8.046824980226987,3.8010030921309403,4.2895123113960185,0.09141820694656992,0.16980733791977867,0.27129613861243673,4.921340415203132,-0.0003201779801306483,-0.09334051006473199,0.07847872856279799,-0.017656759516744162,2.8640372799440423,2.300529797694089,2.328013871430685,2.3527222704054007,-3.6399308446124166,0.5666131549840849,1.2883115308340827,mp-ood-3
mp-1211365,La2MgNbO6,La,La,Mg,Nb,-3.4580325913860834,0.07803488739711545,0.20657545765043153,2.1037907606180246,279.6573767612961,6.074313036962462,P2_1/c,22.15632772005875,1.093850534771417,1.1138803648044209,1.2977731298760797,1.5657414160511227,3.4379018318936385,1.436811603846215,1.0522139428851434,0.9570785274637713,0.7334153519438361,0.8339223299373908,0.8332218700422764,-4946.061655473394,2.9857379773285215,3.0234525759499555,3.999860810557378,5.044993230550878,4.609900384487525,5.978702056074774,3.8549901371139055,4.934581519664646,5.976800436166654,2.702361456572026,3.3065915368779493,1.2907723028017826,1.7019274545092256,3.825010991833955,2.1331555436462963,1.27502761189342,1.7094803074653373,2.962841214688903,0.5597709914779089,2.710018087710792,2.114835048863866,2.512176945111281,2.046753500071971,-3.5216100163372883,2.05858012688061,3.091272842235211,mp-ood-4
mp-1214112,Ca2YBeO5,Ca,Ca,Y,Be,-3.2407179647584137,0.03306422069243142,0.012849417474632625,3.5481466395107937,423.14840382484215,3.966415128294168,Pnma,51.63178616903198,0.9720804556938931,1.0209697991471385,1.191766424493578,1.5916939337419305,3.445704011721907,1.403990822254302,0.8217556342585193,1.1302983398403836,0.9161723832617068,0.34194268538569084,0.7538813332441593,-11.360793748355462,2.0109075448988043,2.04831886624024,3.048518530246258,4.024362404008328,3.5326068812252847,3.945640124765778,3.134282389137411,3.843386965874811,7.984327662321263,3.7189227080049387,4.276439071106921,0.19443366990994068,-0.07224919357195254,0.2221969900261044,5.0584347515719035,0.04999818735124323,-0.05890939614502452,0.10223787536600248,-0.06841818609880582,2.527242797516205,2.2978204619564195,1.8044450418464153,2.1261642123773643,-3.2399416940832446,3.982560061077333,3.542581687022219,mp-ood-5
mp-aaaieiwz,MgMo(PbO3)2,Pb,Pb,Mg,Mo,-2.0105318288854717,0.04621296730827325,2.1180691536645324,-0.02533276266883526,127.24818648095959,8.370620413428277,Fm-3m,228.20293870166103,1.804305802705787,1.766230378416265,1.2760938369214232,2.1491235371963846,3.4434442838612367,1.7314241605997431,1.1132750139920902,1.1847890173790079,0.7223794902896055,0.6790101149890263,0.7359065645125666,-2529.2250625384645,1.9496114867470495,1.9821890210587616,3.909113514212174,5.913041974323709,5.159140841734248,3.953092886515356,4.085035472133676,5.91225572344546,8.076080073337868,3.4484246819259226,4.4273497773654755,0.30525347899598865,1.42640409580743,1.804286987325121,3.102409954534516,0.515335117252978,1.5219195227611273,2.0821007933225504,1.0830292300281323,2.3630251014671684,2.1313276227369244,2.1593076038493466,2.0969270486424487,-1.9876344792074296,0.5890237662893569,2.3243534851336687,mp-ood-6
mp-1517644,Sr2NbWO6,Sr,Sr,Nb,W,-2.938076700489177,0.10283996184614898,0.6679242801173483,2.8549877946898823,155.45202162106435,6.442124149960324,Fm-3m,224.2779455657633,0.965201619599226,0.8983980390843923,1.5986814697291714,1.7143865845975956,3.438831467347062,1.6513463312665522,1.0058955333349746,1.0550525077285762,0.7292754593017086,0.6539028604867552,0.8558125345750277,1108.7417488546764,1.943837702773401,1.9496188632804963,5.026992753038834,5.916406684387404,5.5342167217432285,4.030994411405594,5.320985851011235,5.705232188603159,8.021698454090904,3.678786185982743,4.224155402200994,1.114832361447029,1.7581708279948094,3.094658595019268,1.869389490279397,1.058515222178939,1.7641246849769876,3.1885828927008557,0.48801474342166956,2.520478661044833,2.1101501841203927,1.9622458814404449,2.030968121315575,-2.8827809137518536,2.465541844654612,2.5436932620844326,mp-ood-7
mp-1086666,Sr2TaInO6,Sr,Sr,Ta,In,-3.0637115957330043,0.023188590631985775,4.005316618085997,-0.046525684425922025,143.8449582245467,6.723815441751323,I4/m,90.0603495614453,0.9529503027052599,0.9423685901352994,1.4862764119929572,1.7871693329178544,3.4265884931765034,1.6309793006507503,1.0648221414899959,1.3019303519732897,0.7230969242169676,0.7420528135627226,0.8865680782586606,364.47895989915435,1.959668733401352,2.0254076926395883,5.013497271083281,2.8591360781076185,3.9787532681068423,3.945724468461368,4.760286617335747,13.258785307562727,7.93769354765395,2.047286083022805,5.992984935625898,2.9891911733953007,7.104214575646418,10.067569608664435,4.792798692017907,3.0779872867051363,3.130792912889524,6.04973707144644,0.017598925952679867,2.698033843569634,2.1361514408397286,2.4014451269437096,2.2062632379252705,-3.001927544930579,0.015099910616884316,5.994490374410355,mp-ood-8
mp-1383877,TaZn2WO6,Zn,Zn,Ta,W,-1.906675598882706,0.4768541384911553,-0.05261965142815237,1.7008865544522982,125.5435938923108,7.549559312720651,Imm2,41.79644720381326,1.6400085487620797,1.6342912810982164,1.527153046800343,1.6933950000333473,3.4453787434639,1.5873049379236959,0.7751425923005384,1.208110751848729,0.7223288179086982,0.9144999477790524,0.7772396991472449,-1926.420881039005,2.020382037431354,1.9777722900582821,4.959178899656902,5.935115511268422,5.464555902946579,3.966815442164282,5.127749943497244,6.057139176760298,7.956705501145184,3.7666020997576064,4.293627203697207,1.1656611064352467,1.7523169969153887,2.851417285706257,2.130681246918922,1.1667936346785717,1.7831822011764995,2.8478608387810036,0.4591473492417588,2.131707019198387,2.1148751474464023,2.2077929333153152,2.1882449897010043,-1.8814105405270052,1.512857554597897,2.7335020193341433,mp-ood-9
mp-1407554,Ba2BiSbO6,Ba,Ba,Bi,Sb,-0.5910782682539718,1.9416784684059345,0.030804768808071085,0.07360147141422066,204.6691614580402,5.783185642709688,P-1,0.6284770076706925,0.9014568213310125,0.8549232438496942,1.9114989196789032,2.058264061181605,3.4445476620131785,1.9846712376504307,1.5332614642310067,1.4395893084385416,1.033478336960841,0.5789045129940638,0.8538392031978853,-1384.2428675916603,1.9659753085646645,1.996755237460329,5.07630584309658,5.218942394563066,5.082576978761039,4.141124654239812,14.975913876449138,15.02799529422073,7.985256074572132,3.997917786858173,4.017569752228592,9.841242371425796,10.25145094076818,19.748936502498726,14.92621584425904,-0.03315492663529327,-0.017490529681441082,0.2993088882623821,0.021844172282558843,2.6372591199578133,2.4350604357699055,2.168080387790012,2.181173760624745,-0.49495018072662267,0.41150385136155765,-0.11549532729378308,mp-ood-10
mp-1218376,Sr2TiMoO6,Sr,Sr,Ti,Mo,-3.026415961098486,0.023473337238458278,0.032444692726111606,1.4756757219556649,139.57696664893447,5.4520116103221055,Fm-3m,218.22942869038852,0.9189280504337857,0.942225212919564,1.549146507147084,2.1518053401355495,3.434290844581902,1.8352884761185857,1.38150232132732,1.071331092939228,0.8429508080713205,0.6612950339390988,0.7738566166677759,130.80674419557326,2.0143563248805005,2.0006262576906213,3.9596109542699893,5.702671412872261,4.989717963008905,4.040941645787819,3.8232100602344037,6.163082048673954,8.037798703064666,3.43430807920037,4.545652848630179,0.4896141857073972,1.607003226809939,2.256451892648951,2.657722348476018,0.4028892243395732,1.5334679931742405,1.9202379947476338,0.951404199822591,2.5787377828850038,2.251855850306751,2.3700585946748043,2.075954353127419,-2.9736183553798097,1.8432590188394837,1.553832308028267,mp-ood-11
mp-19093,Ba2UNiO6,Ba,Ba,U,Ni,-3.0906708404696897,1.3811196922229563e-05,1.6530478412566079,1.1645591067085979,151.0277316046768,7.465111723887496,Fm-3m,221.69691821167527,0.902288247350427,0.8846182516740435,1.6883456681284923,1.9004819743998456,3.44184716285589,1.811418360553775,1.459763592819191,1.35098814035267,1.0338510390980578,0.8742584761191491,0.8971850410212004,-343.017114984044,1.9998136339609605,2.0154758511154167,3.9646173780785365,9.876716181624557,7.007127546243006,3.987775082077919,3.997462006738297,9.943061903912769,7.9182059462468155,2.587452159472128,5.470061997936861,1.656539111594855,4.343312917776317,5.811869319728196,0.837781541536975,1.4829708381535416,4.538932739981759,6.01438217945307,2.9385631072484695,2.730276826703616,2.426249800394484,1.941570501118868,2.065703877339467,-3.0368546326603205,2.1649695768852752,6.454758667251349,mp-ood-12
mp-19161,Ca2CoWO6,Ca,Ca,Co,W,-2.616888721919032,0.020458725478408053,1.222798845916724,5.510948317984423,246.12954258275138,5.726121967213419,P2_1/c,21.088800962423782,1.0333492918500786,0.9629962150207243,1.8504321793965233,1.701469737471002,3.4370318726375655,1.7941809059815454,1.2648785410851153,0.7694110661577714,0.6502940520725513,0.4650762954449259,0.861691591157705,1313.9045820434555,2.0151520053655125,2.0236996988481994,9.275956096442826,5.881631742819811,7.488971863804793,3.906232056465522,8.866701233058432,6.111123038418341,7.96911397794527,4.749627260105492,3.2417284825293993,4.255387225654024,2.813541637763767,6.971155360771364,1.8822757456166523,4.217399693619132,2.7207917070169083,6.7813442271263655,1.4957528306022552,2.6152878053489523,2.0300867139579175,2.0647263840269976,2.1751286821141593,-2.5687075489754974,5.53501293593138,7.327336505692023,mp-ood-13
mp-1106089,Ba2InGaO5,Ba,Ba,In,Ga,-2.6244268720927733,0.00456084628346557,1.2498993578398456,-0.2524600118300255,281.6253139633812,6.18592725598474,Ima2,44.49403893933362,0.9141952703283466,0.8903206116186541,1.752842618877049,1.822871010187408,3.433346114505462,1.802715157658816,1.5144680981938359,0.9270986663497572,0.7983989381719169,0.41095789319427145,0.9817586263887825,-369.0205683211874,2.005072374113419,2.005526234352637,3.1357169600749963,2.794198066519347,3.0841135587898227,3.9737355022805056,12.88433760478114,12.898929241845275,7.9580516470830425,4.0019888080247945,3.9644595667299813,9.032771381689512,9.242264034347421,17.744484637786567,13.109081981529203,1.04747578823728,0.9997833783202983,1.901534941474381,-0.0558191408098826,2.842486357607427,2.212050549231521,2.1195188300075802,2.1795797435204425,-2.5830165868032955,0.6902691688852889,2.1713119759383117,mp-ood-14
